lon,lat,elevation
7.64211,45.97812,3008
7.64254,45.97812,3026
7.64297,45.97812,3031
7.64339,45.97812,3033
7.64382,45.97812,3065
7.64425,45.97812,3101
7.64468,45.97812,3135
7.64511,45.97812,3169
7.64554,45.97812,3208
7.64597,45.97812,3248
7.64640,45.97812,3289
7.62451,45.97782,2898
7.62494,45.97782,2900
7.62537,45.97782,2900
7.62580,45.97782,2900
7.62623,45.97782,2901
7.62666,45.97782,2903
7.62709,45.97782,2906
7.62752,45.97782,2912
7.62794,45.97782,2919
7.62837,45.97782,2927
7.62880,45.97782,2936
7.62923,45.97782,2945
7.62966,45.97782,2955
7.63009,45.97782,2965
7.63052,45.97782,2972
